"Meddržavne selitve po državi državljanstva in spolu, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"SELITVE";"SPOL";Meddržavne selitve
"2016";"  Ukrajina";"Priseljeni iz tujine";"Ženske";147
"2016";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";51
"2016";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";38
"2016";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";113
"2016";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";105
"2016";"AFRIKA";"Priseljeni iz tujine";"Moški";53
"2016";"AFRIKA";"Priseljeni iz tujine";"Ženske";17
"2016";"AZIJA";"Priseljeni iz tujine";"Moški";246
"2016";"AZIJA";"Priseljeni iz tujine";"Ženske";190
"2016";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";22
"2016";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";25
"2016";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";65
"2016";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";56
"2016";"  Kanada";"Priseljeni iz tujine";"Moški";12
"2016";"  Kanada";"Priseljeni iz tujine";"Ženske";4
"2016";"  Združene države";"Priseljeni iz tujine";"Moški";40
"2016";"  Združene države";"Priseljeni iz tujine";"Ženske";36
"2016";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";13
"2016";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";16
"2016";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";8
"2016";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";5
"2016";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2016";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2017";"EVROPA";"Priseljeni iz tujine";"Moški";11820
"2017";"EVROPA";"Priseljeni iz tujine";"Ženske";6193
"2017";"  Albanija";"Priseljeni iz tujine";"Moški";4
"2017";"  Albanija";"Priseljeni iz tujine";"Ženske";7
"2017";"  Avstrija";"Priseljeni iz tujine";"Moški";35
"2017";"  Avstrija";"Priseljeni iz tujine";"Ženske";30
"2017";"  Belgija";"Priseljeni iz tujine";"Moški";21
"2017";"  Belgija";"Priseljeni iz tujine";"Ženske";7
"2017";"  Bolgarija";"Priseljeni iz tujine";"Moški";652
"2017";"  Bolgarija";"Priseljeni iz tujine";"Ženske";148
"2017";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";4415
"2017";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";1770
"2017";"  Èeška republika";"Priseljeni iz tujine";"Moški";8
"2017";"  Èeška republika";"Priseljeni iz tujine";"Ženske";9
"2017";"  Èrna gora";"Priseljeni iz tujine";"Moški";34
"2017";"  Èrna gora";"Priseljeni iz tujine";"Ženske";31
"2017";"  Danska";"Priseljeni iz tujine";"Moški";6
"2017";"  Danska";"Priseljeni iz tujine";"Ženske";8
"2017";"  Francija";"Priseljeni iz tujine";"Moški";46
"2017";"  Francija";"Priseljeni iz tujine";"Ženske";14
"2017";"  Hrvaška";"Priseljeni iz tujine";"Moški";715
"2017";"  Hrvaška";"Priseljeni iz tujine";"Ženske";384
"2017";"  Italija";"Priseljeni iz tujine";"Moški";380
"2017";"  Italija";"Priseljeni iz tujine";"Ženske";168
"2017";"  Kosovo";"Priseljeni iz tujine";"Moški";714
"2017";"  Kosovo";"Priseljeni iz tujine";"Ženske";666
"2017";"  Madžarska";"Priseljeni iz tujine";"Moški";134
"2017";"  Madžarska";"Priseljeni iz tujine";"Ženske";51
"2017";"  Nemèija";"Priseljeni iz tujine";"Moški";56
"2017";"  Nemèija";"Priseljeni iz tujine";"Ženske";29
"2017";"  Nizozemska";"Priseljeni iz tujine";"Moški";16
"2017";"  Nizozemska";"Priseljeni iz tujine";"Ženske";9
"2017";"  Poljska";"Priseljeni iz tujine";"Moški";21
"2017";"  Poljska";"Priseljeni iz tujine";"Ženske";27
"2017";"  Romunija";"Priseljeni iz tujine";"Moški";46
"2017";"  Romunija";"Priseljeni iz tujine";"Ženske";26
"2017";"  Ruska federacija";"Priseljeni iz tujine";"Moški";228
"2017";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";252
"2017";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";498
"2017";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";509
"2017";"  Slovenija";"Priseljeni iz tujine";"Moški";1956
"2017";"  Slovenija";"Priseljeni iz tujine";"Ženske";1332
"2017";"  Srbija";"Priseljeni iz tujine";"Moški";1556
"2017";"  Srbija";"Priseljeni iz tujine";"Ženske";400
"2017";"  Švedska";"Priseljeni iz tujine";"Moški";5
"2017";"  Švedska";"Priseljeni iz tujine";"Ženske";4
"2017";"  Švica";"Priseljeni iz tujine";"Moški";9
"2017";"  Švica";"Priseljeni iz tujine";"Ženske";3
"2017";"  Ukrajina";"Priseljeni iz tujine";"Moški";113
"2017";"  Ukrajina";"Priseljeni iz tujine";"Ženske";159
"2017";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";58
"2017";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";42
"2017";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";94
"2017";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";108
"2017";"AFRIKA";"Priseljeni iz tujine";"Moški";76
"2017";"AFRIKA";"Priseljeni iz tujine";"Ženske";21
"2017";"AZIJA";"Priseljeni iz tujine";"Moški";284
"2017";"AZIJA";"Priseljeni iz tujine";"Ženske";233
"2017";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";24
"2017";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";28
"2017";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";50
"2017";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";63
"2017";"  Kanada";"Priseljeni iz tujine";"Moški";9
"2017";"  Kanada";"Priseljeni iz tujine";"Ženske";5
"2017";"  Združene države";"Priseljeni iz tujine";"Moški";30
"2017";"  Združene države";"Priseljeni iz tujine";"Ženske";33
"2017";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";11
"2017";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";25
"2017";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";10
"2017";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";6
"2017";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2017";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2018";"EVROPA";"Priseljeni iz tujine";"Moški";19596
"2018";"EVROPA";"Priseljeni iz tujine";"Ženske";7932
"2018";"  Albanija";"Priseljeni iz tujine";"Moški";6
"2018";"  Albanija";"Priseljeni iz tujine";"Ženske";13
"2018";"  Avstrija";"Priseljeni iz tujine";"Moški";58
"2018";"  Avstrija";"Priseljeni iz tujine";"Ženske";31
"2018";"  Belgija";"Priseljeni iz tujine";"Moški";13
"2018";"  Belgija";"Priseljeni iz tujine";"Ženske";4
"2018";"  Bolgarija";"Priseljeni iz tujine";"Moški";557
"2018";"  Bolgarija";"Priseljeni iz tujine";"Ženske";151
"2018";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";9134
"2018";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";2582
"2018";"  Èeška republika";"Priseljeni iz tujine";"Moški";11
"2018";"  Èeška republika";"Priseljeni iz tujine";"Ženske";10
"2018";"  Èrna gora";"Priseljeni iz tujine";"Moški";59
"2018";"  Èrna gora";"Priseljeni iz tujine";"Ženske";25
"2018";"  Danska";"Priseljeni iz tujine";"Moški";2
"2018";"  Danska";"Priseljeni iz tujine";"Ženske";0
"2018";"  Francija";"Priseljeni iz tujine";"Moški";51
"2018";"  Francija";"Priseljeni iz tujine";"Ženske";25
"2018";"  Hrvaška";"Priseljeni iz tujine";"Moški";801
"2018";"  Hrvaška";"Priseljeni iz tujine";"Ženske";430
"2018";"  Italija";"Priseljeni iz tujine";"Moški";328
"2018";"  Italija";"Priseljeni iz tujine";"Ženske";142
"2018";"  Kosovo";"Priseljeni iz tujine";"Moški";1679
"2018";"  Kosovo";"Priseljeni iz tujine";"Ženske";752
"2018";"  Madžarska";"Priseljeni iz tujine";"Moški";127
"2018";"  Madžarska";"Priseljeni iz tujine";"Ženske";50
"2018";"  Nemèija";"Priseljeni iz tujine";"Moški";76
"2018";"  Nemèija";"Priseljeni iz tujine";"Ženske";46
"2018";"  Nizozemska";"Priseljeni iz tujine";"Moški";27
"2018";"  Nizozemska";"Priseljeni iz tujine";"Ženske";11
"2018";"  Poljska";"Priseljeni iz tujine";"Moški";10
"2018";"  Poljska";"Priseljeni iz tujine";"Ženske";23
"2018";"  Romunija";"Priseljeni iz tujine";"Moški";51
"2018";"  Romunija";"Priseljeni iz tujine";"Ženske";34
"2018";"  Ruska federacija";"Priseljeni iz tujine";"Moški";281
"2018";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";272
"2018";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";874
"2018";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";582
"2018";"  Slovenija";"Priseljeni iz tujine";"Moški";2474
"2018";"  Slovenija";"Priseljeni iz tujine";"Ženske";1880
"2018";"  Srbija";"Priseljeni iz tujine";"Moški";2609
"2018";"  Srbija";"Priseljeni iz tujine";"Ženske";568
"2018";"  Švedska";"Priseljeni iz tujine";"Moški";3
"2018";"  Švedska";"Priseljeni iz tujine";"Ženske";3
"2018";"  Švica";"Priseljeni iz tujine";"Moški";6
"2018";"  Švica";"Priseljeni iz tujine";"Ženske";2
"2018";"  Ukrajina";"Priseljeni iz tujine";"Moški";151
"2018";"  Ukrajina";"Priseljeni iz tujine";"Ženske";158
"2018";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";86
"2018";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";41
"2018";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";122
"2018";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";97
"2018";"AFRIKA";"Priseljeni iz tujine";"Moški";92
"2018";"AFRIKA";"Priseljeni iz tujine";"Ženske";32
"2018";"AZIJA";"Priseljeni iz tujine";"Moški";298
"2018";"AZIJA";"Priseljeni iz tujine";"Ženske";288
"2018";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";24
"2018";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";36
"2018";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";66
"2018";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";78
"2018";"  Kanada";"Priseljeni iz tujine";"Moški";4
"2018";"  Kanada";"Priseljeni iz tujine";"Ženske";13
"2018";"  Združene države";"Priseljeni iz tujine";"Moški";46
"2018";"  Združene države";"Priseljeni iz tujine";"Ženske";39
"2018";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";16
"2018";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";26
"2018";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";10
"2018";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";3
"2018";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2018";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2019";"EVROPA";"Priseljeni iz tujine";"Moški";21891
"2019";"EVROPA";"Priseljeni iz tujine";"Ženske";8447
"2019";"  Albanija";"Priseljeni iz tujine";"Moški";18
"2019";"  Albanija";"Priseljeni iz tujine";"Ženske";12
"2019";"  Avstrija";"Priseljeni iz tujine";"Moški";26
"2019";"  Avstrija";"Priseljeni iz tujine";"Ženske";24
"2019";"  Belgija";"Priseljeni iz tujine";"Moški";15
"2019";"  Belgija";"Priseljeni iz tujine";"Ženske";8
"2019";"  Bolgarija";"Priseljeni iz tujine";"Moški";484
"2019";"  Bolgarija";"Priseljeni iz tujine";"Ženske";156
"2019";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";10445
"2019";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";3347
"2019";"  Èeška republika";"Priseljeni iz tujine";"Moški";15
"2019";"  Èeška republika";"Priseljeni iz tujine";"Ženske";13
"2019";"  Èrna gora";"Priseljeni iz tujine";"Moški";70
"2019";"  Èrna gora";"Priseljeni iz tujine";"Ženske";48
"2019";"  Danska";"Priseljeni iz tujine";"Moški";2
"2019";"  Danska";"Priseljeni iz tujine";"Ženske";1
"2019";"  Francija";"Priseljeni iz tujine";"Moški";31
"2019";"  Francija";"Priseljeni iz tujine";"Ženske";22
"2019";"  Hrvaška";"Priseljeni iz tujine";"Moški";859
"2019";"  Hrvaška";"Priseljeni iz tujine";"Ženske";410
"2019";"  Italija";"Priseljeni iz tujine";"Moški";286
"2019";"  Italija";"Priseljeni iz tujine";"Ženske";128
"2019";"  Kosovo";"Priseljeni iz tujine";"Moški";2663
"2019";"  Kosovo";"Priseljeni iz tujine";"Ženske";681
"2019";"  Madžarska";"Priseljeni iz tujine";"Moški";88
"2019";"  Madžarska";"Priseljeni iz tujine";"Ženske";47
"2019";"  Nemèija";"Priseljeni iz tujine";"Moški";51
"2019";"  Nemèija";"Priseljeni iz tujine";"Ženske";28
"2019";"  Nizozemska";"Priseljeni iz tujine";"Moški";27
"2019";"  Nizozemska";"Priseljeni iz tujine";"Ženske";13
"2019";"  Poljska";"Priseljeni iz tujine";"Moški";13
"2019";"  Poljska";"Priseljeni iz tujine";"Ženske";31
"2019";"  Romunija";"Priseljeni iz tujine";"Moški";60
"2019";"  Romunija";"Priseljeni iz tujine";"Ženske";25
"2019";"  Ruska federacija";"Priseljeni iz tujine";"Moški";207
"2019";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";252
"2019";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";1007
"2019";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";588
"2019";"  Slovenija";"Priseljeni iz tujine";"Moški";2152
"2019";"  Slovenija";"Priseljeni iz tujine";"Ženske";1607
"2019";"  Srbija";"Priseljeni iz tujine";"Moški";3046
"2019";"  Srbija";"Priseljeni iz tujine";"Ženske";732
"2019";"  Švedska";"Priseljeni iz tujine";"Moški";11
"2019";"  Švedska";"Priseljeni iz tujine";"Ženske";6
"2019";"  Švica";"Priseljeni iz tujine";"Moški";6
"2019";"  Švica";"Priseljeni iz tujine";"Ženske";5
"2019";"  Ukrajina";"Priseljeni iz tujine";"Moški";130
"2019";"  Ukrajina";"Priseljeni iz tujine";"Ženske";130
"2019";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";67
"2019";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";42
"2019";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";112
"2019";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";91
"2019";"AFRIKA";"Priseljeni iz tujine";"Moški";76
"2019";"AFRIKA";"Priseljeni iz tujine";"Ženske";27
"2019";"AZIJA";"Priseljeni iz tujine";"Moški";371
"2019";"AZIJA";"Priseljeni iz tujine";"Ženske";293
"2019";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";31
"2019";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";35
"2019";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";63
"2019";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";67
"2019";"  Kanada";"Priseljeni iz tujine";"Moški";11
"2019";"  Kanada";"Priseljeni iz tujine";"Ženske";11
"2019";"  Združene države";"Priseljeni iz tujine";"Moški";36
"2019";"  Združene države";"Priseljeni iz tujine";"Ženske";41
"2019";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";16
"2019";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";15
"2019";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";13
"2019";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";5
"2019";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2019";"Neznana država";"Priseljeni iz tujine";"Ženske";0
"2020";"EVROPA";"Priseljeni iz tujine";"Moški";22482
"2020";"EVROPA";"Priseljeni iz tujine";"Ženske";12585
"2020";"  Albanija";"Priseljeni iz tujine";"Moški";33
"2020";"  Albanija";"Priseljeni iz tujine";"Ženske";11
"2020";"  Avstrija";"Priseljeni iz tujine";"Moški";69
"2020";"  Avstrija";"Priseljeni iz tujine";"Ženske";52
"2020";"  Belgija";"Priseljeni iz tujine";"Moški";18
"2020";"  Belgija";"Priseljeni iz tujine";"Ženske";6
"2020";"  Bolgarija";"Priseljeni iz tujine";"Moški";236
"2020";"  Bolgarija";"Priseljeni iz tujine";"Ženske";108
"2020";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Moški";7695
"2020";"  Bosna in Hercegovina";"Priseljeni iz tujine";"Ženske";3635
"2020";"  Èeška republika";"Priseljeni iz tujine";"Moški";19
"2020";"  Èeška republika";"Priseljeni iz tujine";"Ženske";21
"2020";"  Èrna gora";"Priseljeni iz tujine";"Moški";72
"2020";"  Èrna gora";"Priseljeni iz tujine";"Ženske";50
"2020";"  Danska";"Priseljeni iz tujine";"Moški";5
"2020";"  Danska";"Priseljeni iz tujine";"Ženske";0
"2020";"  Francija";"Priseljeni iz tujine";"Moški";37
"2020";"  Francija";"Priseljeni iz tujine";"Ženske";22
"2020";"  Hrvaška";"Priseljeni iz tujine";"Moški";667
"2020";"  Hrvaška";"Priseljeni iz tujine";"Ženske";537
"2020";"  Italija";"Priseljeni iz tujine";"Moški";442
"2020";"  Italija";"Priseljeni iz tujine";"Ženske";235
"2020";"  Kosovo";"Priseljeni iz tujine";"Moški";2801
"2020";"  Kosovo";"Priseljeni iz tujine";"Ženske";967
"2020";"  Madžarska";"Priseljeni iz tujine";"Moški";66
"2020";"  Madžarska";"Priseljeni iz tujine";"Ženske";57
"2020";"  Nemèija";"Priseljeni iz tujine";"Moški";101
"2020";"  Nemèija";"Priseljeni iz tujine";"Ženske";76
"2020";"  Nizozemska";"Priseljeni iz tujine";"Moški";27
"2020";"  Nizozemska";"Priseljeni iz tujine";"Ženske";13
"2020";"  Poljska";"Priseljeni iz tujine";"Moški";14
"2020";"  Poljska";"Priseljeni iz tujine";"Ženske";25
"2020";"  Romunija";"Priseljeni iz tujine";"Moški";22
"2020";"  Romunija";"Priseljeni iz tujine";"Ženske";26
"2020";"  Ruska federacija";"Priseljeni iz tujine";"Moški";203
"2020";"  Ruska federacija";"Priseljeni iz tujine";"Ženske";239
"2020";"  Severna Makedonija";"Priseljeni iz tujine";"Moški";841
"2020";"  Severna Makedonija";"Priseljeni iz tujine";"Ženske";636
"2020";"  Slovenija";"Priseljeni iz tujine";"Moški";6606
"2020";"  Slovenija";"Priseljeni iz tujine";"Ženske";4754
"2020";"  Srbija";"Priseljeni iz tujine";"Moški";2157
"2020";"  Srbija";"Priseljeni iz tujine";"Ženske";822
"2020";"  Švedska";"Priseljeni iz tujine";"Moški";8
"2020";"  Švedska";"Priseljeni iz tujine";"Ženske";7
"2020";"  Švica";"Priseljeni iz tujine";"Moški";7
"2020";"  Švica";"Priseljeni iz tujine";"Ženske";6
"2020";"  Ukrajina";"Priseljeni iz tujine";"Moški";118
"2020";"  Ukrajina";"Priseljeni iz tujine";"Ženske";135
"2020";"  Združeno kraljestvo";"Priseljeni iz tujine";"Moški";100
"2020";"  Združeno kraljestvo";"Priseljeni iz tujine";"Ženske";45
"2020";"  Druge države Evrope";"Priseljeni iz tujine";"Moški";118
"2020";"  Druge države Evrope";"Priseljeni iz tujine";"Ženske";100
"2020";"AFRIKA";"Priseljeni iz tujine";"Moški";83
"2020";"AFRIKA";"Priseljeni iz tujine";"Ženske";33
"2020";"AZIJA";"Priseljeni iz tujine";"Moški";483
"2020";"AZIJA";"Priseljeni iz tujine";"Ženske";265
"2020";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Moški";26
"2020";"JUŽNA AMERIKA";"Priseljeni iz tujine";"Ženske";31
"2020";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Moški";50
"2020";"SEVERNA IN SREDNJA AMERIKA";"Priseljeni iz tujine";"Ženske";56
"2020";"  Kanada";"Priseljeni iz tujine";"Moški";6
"2020";"  Kanada";"Priseljeni iz tujine";"Ženske";4
"2020";"  Združene države";"Priseljeni iz tujine";"Moški";29
"2020";"  Združene države";"Priseljeni iz tujine";"Ženske";29
"2020";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Moški";15
"2020";"  Druge države Severne in Srednje Amerike";"Priseljeni iz tujine";"Ženske";23
"2020";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Moški";13
"2020";"AVSTRALIJA IN OCEANIJA";"Priseljeni iz tujine";"Ženske";3
"2020";"Neznana država";"Priseljeni iz tujine";"Moški";0
"2020";"Neznana država";"Priseljeni iz tujine";"Ženske";0
