"Povpreène meseène bruto plaèe (EUR) po dejavnosti (SKD 2008), doseženi izobrazbi in spolu, Slovenija, letno"

"SKD DEJAVNOST";"DOSEŽENA IZOBRAZBA";"SPOL";"LETO";Povpreène meseène bruto plaèe (EUR, SKD 2008)
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2015";1366
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2016";1400
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2017";1409
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Srednješolska";"Ženske";"2018";1430
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2010";2771
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2011";2710
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2012";2662
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2013";2589
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2014";2576
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2015";2547
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2016";2574
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2017";2623
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Moški";"2018";2684
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2010";2211
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2011";2190
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2012";2224
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2013";2182
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2014";2208
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2015";2186
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2016";2161
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2017";2219
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Višješolska, visokošolska";"Ženske";"2018";2254
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2010";881
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2011";928
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2012";968
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2013";995
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2014";1027
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2015";1044
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2016";1056
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2017";1074
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Moški";"2018";1128
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2010";854
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2011";892
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2012";923
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2013";922
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2014";939
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2015";954
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2016";984
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2017";1006
"F GRADBENIŠTVO";"Osnovnošolska ali manj";"Ženske";"2018";1066
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2010";1126
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2011";1144
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2012";1157
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2013";1170
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2014";1196
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2015";1207
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2016";1214
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2017";1232
"F GRADBENIŠTVO";"Srednješolska";"Moški";"2018";1303
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2010";1273
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2011";1276
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2012";1272
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2013";1277
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2014";1291
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2015";1308
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2016";1315
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2017";1298
"F GRADBENIŠTVO";"Srednješolska";"Ženske";"2018";1349
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2010";2548
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2011";2490
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2012";2403
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2013";2289
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2014";2193
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2015";2176
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2016";2193
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2017";2161
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Moški";"2018";2241
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2010";1951
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2011";1915
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2012";1857
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2013";1818
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2014";1790
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2015";1772
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2016";1783
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2017";1761
"F GRADBENIŠTVO";"Višješolska, visokošolska";"Ženske";"2018";1816
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2010";1017
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2011";1064
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2012";1090
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2013";1104
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2014";1139
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2015";1166
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2016";1197
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2017";1224
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Moški";"2018";1291
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2010";901
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2011";938
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2012";950
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2013";963
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2014";979
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2015";997
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2016";1007
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2017";1036
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Osnovnošolska ali manj";"Ženske";"2018";1094
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2010";1297
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2011";1329
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2012";1342
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2013";1347
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2014";1379
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2015";1405
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2016";1437
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2017";1465
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Moški";"2018";1537
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2010";1063
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2011";1091
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2012";1108
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2013";1118
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2014";1137
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2015";1149
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2016";1173
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2017";1191
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Srednješolska";"Ženske";"2018";1247
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2010";2631
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2011";2683
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2012";2687
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2013";2574
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2014";2557
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2015";2557
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2016";2570
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2017";2567
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Moški";"2018";2614
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2010";2143
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2011";2146
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2012";2152
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2013";2114
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2014";2121
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2015";2120
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2016";2112
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2017";2121
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Višješolska, visokošolska";"Ženske";"2018";2146
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2010";1041
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2011";1024
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2012";1099
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2013";1108
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2014";1148
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2015";1176
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2016";1172
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2017";1194
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Moški";"2018";1226
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2010";1027
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2011";1037
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2012";1082
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2013";1034
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2014";1048
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2015";1053
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2016";1060
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2017";1065
"H PROMET IN SKLADIŠÈENJE";"Osnovnošolska ali manj";"Ženske";"2018";1142
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2010";1263
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2011";1231
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2012";1276
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2013";1295
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2014";1332
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2015";1356
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2016";1338
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2017";1356
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Moški";"2018";1407
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2010";1364
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2011";1398
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2012";1444
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2013";1394
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2014";1424
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2015";1447
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2016";1448
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2017";1459
"H PROMET IN SKLADIŠÈENJE";"Srednješolska";"Ženske";"2018";1512
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2010";2777
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2011";2839
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2012";2669
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2013";2641
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2014";2684
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2015";2706
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2016";2794
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2017";2794
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Moški";"2018";2855
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2010";1927
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2011";1971
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2012";1988
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2013";2014
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2014";2029
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2015";2068
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2016";2085
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2017";2093
"H PROMET IN SKLADIŠÈENJE";"Višješolska, visokošolska";"Ženske";"2018";2134
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2010";873
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2011";912
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2012";916
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2013";935
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2014";965
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2015";986
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2016";1009
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2017";1042
"I GOSTINSTVO";"Osnovnošolska ali manj";"Moški";"2018";1129
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2010";849
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2011";882
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2012";895
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2013";915
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2014";925
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2015";939
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2016";977
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2017";1002
"I GOSTINSTVO";"Osnovnošolska ali manj";"Ženske";"2018";1066
"I GOSTINSTVO";"Srednješolska";"Moški";"2010";1078
"I GOSTINSTVO";"Srednješolska";"Moški";"2011";1109
"I GOSTINSTVO";"Srednješolska";"Moški";"2012";1118
"I GOSTINSTVO";"Srednješolska";"Moški";"2013";1125
"I GOSTINSTVO";"Srednješolska";"Moški";"2014";1134
"I GOSTINSTVO";"Srednješolska";"Moški";"2015";1142
"I GOSTINSTVO";"Srednješolska";"Moški";"2016";1178
"I GOSTINSTVO";"Srednješolska";"Moški";"2017";1202
"I GOSTINSTVO";"Srednješolska";"Moški";"2018";1262
"I GOSTINSTVO";"Srednješolska";"Ženske";"2010";976
"I GOSTINSTVO";"Srednješolska";"Ženske";"2011";1010
"I GOSTINSTVO";"Srednješolska";"Ženske";"2012";1021
"I GOSTINSTVO";"Srednješolska";"Ženske";"2013";1032
"I GOSTINSTVO";"Srednješolska";"Ženske";"2014";1043
"I GOSTINSTVO";"Srednješolska";"Ženske";"2015";1049
"I GOSTINSTVO";"Srednješolska";"Ženske";"2016";1068
"I GOSTINSTVO";"Srednješolska";"Ženske";"2017";1084
"I GOSTINSTVO";"Srednješolska";"Ženske";"2018";1143
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2010";2355
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2011";2233
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2012";2200
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2013";2026
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2014";1946
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2015";1955
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2016";1925
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2017";1925
"I GOSTINSTVO";"Višješolska, visokošolska";"Moški";"2018";1894
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2010";1836
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2011";1887
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2012";1800
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2013";1720
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2014";1684
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2015";1679
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2016";1648
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2017";1627
"I GOSTINSTVO";"Višješolska, visokošolska";"Ženske";"2018";1654
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2010";1404
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2011";1368
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2012";1439
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2013";1342
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2014";1490
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2015";1496
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2016";1509
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2017";1531
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Moški";"2018";1565
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2010";1123
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2011";1164
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2012";1165
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2013";1178
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2014";1214
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2015";1263
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2016";1305
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2017";1295
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Osnovnošolska ali manj";"Ženske";"2018";1347
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2010";1879
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2011";1837
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2012";1901
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2013";1884
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2014";1899
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2015";1919
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2016";1940
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2017";1910
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Moški";"2018";1986
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Ženske";"2010";1572
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Ženske";"2011";1542
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Ženske";"2012";1587
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Ženske";"2013";1601
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Ženske";"2014";1603
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";"Srednješolska";"Ženske";"2015";1612
